,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-02-04,66.1,66.21,63.12,63.4,286058,28.503825733548883,0.0,138855.0460617476,-0.04790509085448269
2010-02-05,62.31,63.49,60.76,62.0,680707,24.792907475346123,0.0,79464.24755447812,-0.02208201892744477
2010-02-08,63.5,63.5,62.1,62.6,251055,29.05578744752117,9.803921568627468,25120.807478369912,0.00967741935483879
2010-02-09,63.7,64.89,63.63,64.09,364120,38.39443437415217,36.66666666666671,-30657.13787908136,0.02380191693290734
2010-02-10,64.3,64.56,63.75,64.55,157158,40.97753071888117,54.255319148936074,-1918.244404991623,0.0071774067717271794
2010-02-11,64.49,65.6,63.69,65.6,373463,46.49259634229632,76.5957446808509,128842.09787122626,0.016266460108443015
2010-02-12,65.32,65.6,64.4,65.6,364171,46.49259634229633,76.5957446808509,286494.6380868403,0.0
2010-02-17,66.93,67.0,66.3,66.94,236141,52.99353105490313,100.0,387199.24653078755,0.020426829268292757
2010-02-18,66.63,67.6,65.88,67.6,402896,55.83943580287399,100.0,521390.8366641491,0.009859575739468163
2010-02-19,66.79,67.4,66.65,67.4,113779,54.75755962127855,96.42857142857163,565090.6383856016,-0.002958579881656598
2010-02-22,67.4,67.52,66.46,67.0,541928,52.56404760931995,89.28571428571438,534849.3808832525,-0.005934718100890302
2010-02-23,66.03,66.45,65.23,66.0,410642,47.4468944475243,71.4285714285715,508126.45179491607,-0.014925373134328401
2010-02-24,65.69,65.95,64.97,65.6,296000,45.537256008185345,64.28571428571425,477910.12155014835,-0.0060606060606061
2010-02-25,64.7,66.0,64.0,66.0,383380,47.7998158511849,71.4285714285715,544087.0663090935,0.0060975609756097615
2010-02-26,66.0,66.5,65.01,66.5,198833,50.564431641378185,80.35714285714293,584962.037682381,0.007575757575757569
2010-03-01,66.42,67.2,66.25,67.2,131012,54.21997152494748,92.00000000000016,590190.8861821457,0.010526315789473717
2010-03-02,67.2,67.61,67.0,67.14,104750,53.85238899464523,86.89458689458704,520645.5059378459,-0.0008928571428571397
2010-03-03,67.6,68.07,66.95,67.4,227138,55.26761061739014,93.44262295082004,430667.5884799203,0.0038725052129877646
2010-03-04,67.1,67.45,66.31,67.3,237838,54.57438371575456,85.00000000000014,410467.9036771869,-0.0014836795252226587
2010-03-05,68.1,68.5,67.74,68.5,272506,60.91059571944493,100.0,451595.5868326877,0.017830609212481363
2010-03-08,68.6,68.6,67.79,67.84,172004,56.262300224795126,77.241379310345,379394.46896145586,-0.009635036496350335
2010-03-09,67.75,69.56,67.72,69.2,235717,62.596512773124104,100.0,361019.941349654,0.02004716981132071
2010-03-10,69.25,69.81,68.98,69.7,175473,64.62489682677544,100.0,361716.4849476502,0.007225433526011571
2010-03-11,69.13,69.5,68.75,69.5,271772,63.14968642420942,95.12195121951214,415591.0268788622,-0.0028694404591105283
2010-03-12,69.7,69.86,68.69,68.9,315286,58.81229916663958,80.48780487804889,335543.0246892418,-0.008633093525179825
2010-03-15,68.38,68.79,68.01,68.5,459020,56.04845185748262,70.73170731707317,309741.38751637517,-0.005805515239477588
2010-03-16,68.9,70.05,68.6,69.5,311453,60.984786247490106,94.59459459459451,294948.2358266143,0.014598540145985384
