,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-03-09,67.75,69.56,67.72,69.2,69.2,235717,0.0,1.0
2010-03-10,69.25,69.81,68.98,69.7,69.7,175473,0.0,1.0
2010-03-11,69.13,69.5,68.75,69.5,69.5,271772,0.0,1.0
2010-03-12,69.7,69.86,68.69,68.9,68.9,315286,0.0,1.0
2010-03-15,68.38,68.79,68.01,68.5,68.5,459020,0.0,1.0
2010-03-16,68.9,70.05,68.6,69.5,69.5,311453,0.0,1.0
2010-03-17,69.84,69.84,68.62,69.3,69.3,349780,0.0,1.0
2010-03-18,69.24,69.37,68.39,69.2,69.2,298979,0.0,1.0
2010-03-19,69.01,69.4,68.08,68.5,68.5,238983,0.0,1.0
2010-03-22,68.0,68.45,67.3,68.45,68.45,239942,0.0,1.0
2010-03-23,68.79,68.89,68.4,68.89,68.89,237008,0.0,1.0
2010-03-24,68.89,68.89,67.9,68.28,68.28,209152,0.0,1.0
2010-03-25,68.99,68.99,67.68,67.7,67.7,323083,0.0,1.0
2010-03-26,68.12,68.3,67.36,68.3,68.3,215611,0.0,1.0
2010-03-29,68.36,69.5,68.3,69.5,69.5,258942,0.0,1.0
2010-03-30,69.66,69.75,69.03,69.5,69.5,267964,0.0,1.0
2010-03-31,68.45,70.0,68.45,70.0,70.0,294849,0.0,1.0
2010-04-01,70.02,70.69,70.02,70.6,70.6,259498,0.0,1.0
2010-04-05,70.61,71.02,70.48,70.75,70.75,191609,0.0,1.0
2010-04-06,70.4,71.14,70.4,70.45,70.45,421774,0.0,1.0
2010-04-07,70.42,70.59,69.96,70.15,70.15,110663,0.0,1.0
2010-04-08,69.9,71.3,69.9,71.3,71.3,195035,0.0,1.0
2010-04-09,71.3,71.3,70.55,71.0,71.0,454826,0.0,1.0
2010-04-12,70.98,70.98,69.88,70.1,70.1,281691,0.0,1.0
2010-04-13,70.15,70.44,69.43,70.25,70.25,354742,0.0,1.0
2010-04-14,70.48,70.48,69.87,70.45,70.45,226018,0.0,1.0
2010-04-15,70.45,70.45,69.78,69.78,69.78,257682,0.0,1.0
2010-04-16,69.5,69.5,68.31,68.84,68.84,296376,0.0,1.0
2010-04-19,68.33,68.77,67.74,68.5,68.5,575432,0.0,1.0
2010-04-20,69.0,69.2,68.49,68.7,68.7,200894,0.0,1.0
2010-04-22,68.0,68.8,67.47,68.8,68.8,298866,0.0,1.0
2010-04-23,68.7,69.05,68.35,68.95,68.95,475699,0.0,1.0
2010-04-26,69.0,69.15,68.26,68.33,68.33,304235,0.0,1.0
2010-04-27,67.92,67.93,66.0,66.0,66.0,623204,0.0,1.0
2010-04-28,66.25,66.65,65.41,66.01,66.01,582666,0.0,1.0
2010-04-29,66.51,67.45,66.34,67.45,67.45,405725,0.0,1.0
2010-04-30,67.19,67.32,66.55,66.92,66.92,698800,0.0,1.0
2010-05-03,66.92,67.27,66.24,66.8,66.8,315550,0.0,1.0
2010-05-04,66.39,66.82,64.07,64.3,64.3,556085,0.0,1.0
2010-05-05,63.91,65.07,63.11,64.8,64.8,320773,0.0,1.0
2010-05-06,64.0,64.92,60.5,63.2,63.2,387683,0.0,1.0
2010-05-07,63.2,63.37,61.22,62.5,62.5,754766,0.0,1.0
2010-05-10,65.59,65.7,64.48,65.35,65.35,359659,0.0,1.0
2010-05-11,64.2,65.21,63.23,63.23,63.23,295534,0.0,1.0
2010-05-12,63.99,64.9,63.99,64.9,64.9,161589,0.0,1.0
2010-05-13,64.7,64.8,64.2,64.34,64.34,336770,0.0,1.0
2010-05-14,63.5,63.59,62.35,62.9,62.9,270106,0.0,1.0
2010-05-17,63.0,63.0,61.39,62.4,62.4,236319,0.0,1.0
2010-05-18,62.79,62.99,60.2,60.45,60.45,412280,0.0,1.0
2010-05-19,59.62,60.14,58.57,59.19,59.19,396971,0.0,1.0
2010-05-20,57.45,59.1,57.0,57.98,57.98,696034,0.0,1.0
2010-05-21,58.01,60.2,57.57,60.2,60.2,253690,0.0,1.0
2010-05-24,60.1,60.31,59.2,59.2,59.2,257077,0.0,1.0
2010-05-25,57.59,58.7,57.23,58.7,58.7,368620,0.0,1.0
